iter	Passed	Remaining
0	476	476102
1	508	253768
2	531	176771
3	557	138833
4	584	116367
5	610	101105
6	618	87792
7	640	79473
8	664	73165
9	720	71301
10	739	66446
11	759	62563
12	772	58642
13	793	55895
14	815	53538
15	828	50928
16	850	49189
17	875	47737
18	899	46438
19	914	44802
20	935	43604
21	958	42628
22	999	42449
23	1035	42118
24	1074	41906
25	1109	41580
26	1133	40839
27	1149	39902
28	1172	39246
29	1194	38612
30	1215	38007
31	1223	37008
32	1244	36457
33	1267	35998
34	1315	36260
35	1342	35945
36	1367	35583
37	1422	35999
38	1454	35837
39	1479	35498
40	1502	35143
41	1541	35151
42	1564	34808
43	1574	34216
44	1595	33858
45	1615	33514
46	1641	33277
47	1672	33175
48	1694	32885
49	1709	32473
50	1729	32180
51	1753	31961
52	1762	31487
53	1788	31338
54	1807	31049
55	1825	30765
56	1860	30787
57	1890	30702
58	1911	30484
59	1939	30390
60	1973	30380
61	2022	30595
62	2054	30562
63	2089	30564
64	2110	30361
65	2133	30189
66	2150	29953
67	2174	29809
68	2195	29622
69	2216	29444
70	2246	29393
71	2267	29223
72	2288	29058
73	2305	28845
74	2327	28701
75	2341	28470
76	2370	28419
77	2391	28266
78	2413	28137
79	2421	27850
80	2431	27582
81	2461	27551
82	2488	27496
83	2514	27420
84	2544	27392
85	2565	27270
86	2595	27233
87	2625	27210
88	2657	27197
89	2689	27191
90	2701	26983
91	2725	26897
92	2754	26862
93	2773	26731
94	2802	26701
95	2848	26827
96	2870	26719
97	2882	26526
98	2904	26433
99	2938	26443
100	2966	26408
101	2984	26271
102	3014	26254
103	3041	26202
104	3068	26159
105	3086	26028
106	3102	25892
107	3119	25766
108	3140	25674
109	3163	25591
110	3200	25633
111	3230	25609
112	3264	25622
113	3295	25610
114	3327	25603
115	3358	25591
116	3388	25571
117	3420	25567
118	3446	25515
119	3467	25430
120	3482	25298
121	3510	25265
122	3530	25175
123	3551	25093
124	3570	24996
125	3598	24958
126	3619	24880
127	3630	24729
128	3651	24652
129	3657	24476
130	3674	24374
131	3697	24312
132	3718	24242
133	3736	24146
134	3753	24051
135	3770	23954
136	3796	23912
137	3814	23828
138	3822	23675
139	3843	23609
